EventID,Timestamp,CaseID,LabelID
Alarm - Batch Meter Tracking Warning Time 2 Reached,1283,10,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,1289,10,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,1298,10,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,1418,11,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,1435,11,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,1446,11,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,1451,11,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,1460,11,Switching a delivery from a refinery to a crude tank
Alarm - High Discharge Pressure,1576,12,A leak in the pump station
Alarm - High Pump Vibration,1583,12,A leak in the pump station
Alarm - Pipe MOP Exceeded,1594,12,A leak in the pump station
Alarm - Low Suction Pressure,1599,12,A leak in the pump station
Alarm - High Pump Differential,1603,12,A leak in the pump station
Alarm - Leak Detection Alarm,1607,12,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,1706,13,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,1712,13,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,1720,13,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,1823,14,A leak in the pump station
Alarm - High Pump Vibration,1830,14,A leak in the pump station
Alarm - Pipe MOP Exceeded,1841,14,A leak in the pump station
Alarm - Low Suction Pressure,1846,14,A leak in the pump station
Alarm - High Pump Differential,1849,14,A leak in the pump station
Alarm - Leak Detection Alarm,1852,14,A leak in the pump station
Alarm - High Discharge Pressure,1949,15,A leak in the pump station
Alarm - High Pump Vibration,1955,15,A leak in the pump station
Alarm - Pipe MOP Exceeded,1966,15,A leak in the pump station
Alarm - Low Suction Pressure,1970,15,A leak in the pump station
Alarm - High Pump Differential,1973,15,A leak in the pump station
Alarm - Leak Detection Alarm,1976,15,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,2074,16,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,2080,16,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,2088,16,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Warning Time 1 Reached,2191,17,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,2208,17,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,2218,17,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,2224,17,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,2233,17,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,2352,18,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,2357,18,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,2365,18,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Volume Reached,2468,19,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,2474,19,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,2481,19,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,2585,20,A leak in the pump station
Alarm - High Pump Vibration,2591,20,A leak in the pump station
Alarm - Pipe MOP Exceeded,2601,20,A leak in the pump station
Alarm - Low Suction Pressure,2605,20,A leak in the pump station
Alarm - High Pump Differential,2608,20,A leak in the pump station
Alarm - Leak Detection Alarm,2612,20,A leak in the pump station
Alarm - Batch Meter Tracking Warning Time 1 Reached,2711,21,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,2728,21,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,2738,21,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,2743,21,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,2752,21,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,2870,22,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,2875,22,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,2882,22,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Volume Reached,2983,23,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,2989,23,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,2997,23,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,3102,24,A leak in the pump station
Alarm - High Pump Vibration,3109,24,A leak in the pump station
Alarm - Pipe MOP Exceeded,3119,24,A leak in the pump station
Alarm - Low Suction Pressure,3124,24,A leak in the pump station
Alarm - High Pump Differential,3127,24,A leak in the pump station
Alarm - Leak Detection Alarm,3130,24,A leak in the pump station
Alarm - Batch Meter Tracking Warning Time 1 Reached,3229,25,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,3246,25,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,3257,25,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,3263,25,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,3271,25,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,3390,26,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,3408,26,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,3419,26,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,3425,26,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,3433,26,Switching a delivery from a refinery to a crude tank
Alarm - High Discharge Pressure,3551,27,A leak in the pump station
Alarm - High Pump Vibration,3557,27,A leak in the pump station
Alarm - Pipe MOP Exceeded,3567,27,A leak in the pump station
Alarm - Low Suction Pressure,3571,27,A leak in the pump station
Alarm - High Pump Differential,3575,27,A leak in the pump station
Alarm - Leak Detection Alarm,3579,27,A leak in the pump station
Alarm - High Discharge Pressure,3677,28,A leak in the pump station
Alarm - High Pump Vibration,3683,28,A leak in the pump station
Alarm - Pipe MOP Exceeded,3694,28,A leak in the pump station
Alarm - Low Suction Pressure,3698,28,A leak in the pump station
Alarm - High Pump Differential,3701,28,A leak in the pump station
Alarm - Leak Detection Alarm,3704,28,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,3801,29,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,3806,29,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,3813,29,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Volume Reached,3915,30,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,3920,30,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,3927,30,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Warning Time 1 Reached,4030,31,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,4048,31,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,4059,31,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,4065,31,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,4073,31,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,4191,32,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,4209,32,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,4220,32,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,4225,32,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,4234,32,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,4354,33,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,4360,33,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,4367,33,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,4470,34,A leak in the pump station
Alarm - High Pump Vibration,4477,34,A leak in the pump station
Alarm - Pipe MOP Exceeded,4488,34,A leak in the pump station
Alarm - Low Suction Pressure,4492,34,A leak in the pump station
Alarm - High Pump Differential,4495,34,A leak in the pump station
Alarm - Leak Detection Alarm,4498,34,A leak in the pump station
Alarm - Batch Meter Tracking Warning Time 1 Reached,4597,35,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,4614,35,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,4625,35,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,4630,35,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,4639,35,Switching a delivery from a refinery to a crude tank
Alarm - High Discharge Pressure,4758,36,A leak in the pump station
Alarm - High Pump Vibration,4765,36,A leak in the pump station
Alarm - Pipe MOP Exceeded,4775,36,A leak in the pump station
Alarm - Low Suction Pressure,4779,36,A leak in the pump station
Alarm - High Pump Differential,4783,36,A leak in the pump station
Alarm - Leak Detection Alarm,4786,36,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,4883,37,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,4888,37,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,4895,37,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Warning Time 1 Reached,4997,38,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,5014,38,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,5025,38,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,5030,38,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,5039,38,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,5157,39,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,5162,39,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,5170,39,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,5273,40,A leak in the pump station
Alarm - High Pump Vibration,5279,40,A leak in the pump station
Alarm - Pipe MOP Exceeded,5290,40,A leak in the pump station
Alarm - Low Suction Pressure,5295,40,A leak in the pump station
Alarm - High Pump Differential,5299,40,A leak in the pump station
Alarm - Leak Detection Alarm,5302,40,A leak in the pump station
Alarm - High Discharge Pressure,5400,41,A leak in the pump station
Alarm - High Pump Vibration,5406,41,A leak in the pump station
Alarm - Pipe MOP Exceeded,5417,41,A leak in the pump station
Alarm - Low Suction Pressure,5422,41,A leak in the pump station
Alarm - High Pump Differential,5425,41,A leak in the pump station
Alarm - Leak Detection Alarm,5428,41,A leak in the pump station
Alarm - High Discharge Pressure,5527,42,A leak in the pump station
Alarm - High Pump Vibration,5534,42,A leak in the pump station
Alarm - Pipe MOP Exceeded,5544,42,A leak in the pump station
Alarm - Low Suction Pressure,5549,42,A leak in the pump station
Alarm - High Pump Differential,5553,42,A leak in the pump station
Alarm - Leak Detection Alarm,5556,42,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,5655,43,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,5661,43,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,5668,43,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Volume Reached,5772,44,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,5777,44,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,5784,44,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,5888,45,A leak in the pump station
Alarm - High Pump Vibration,5895,45,A leak in the pump station
Alarm - Pipe MOP Exceeded,5905,45,A leak in the pump station
Alarm - Low Suction Pressure,5910,45,A leak in the pump station
Alarm - High Pump Differential,5914,45,A leak in the pump station
Alarm - Leak Detection Alarm,5917,45,A leak in the pump station
Alarm - Batch Meter Tracking Warning Time 1 Reached,6016,46,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,6033,46,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,6044,46,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,6049,46,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,6058,46,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,6179,47,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,6197,47,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,6207,47,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,6212,47,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,6221,47,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,6338,48,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,6356,48,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,6367,48,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,6372,48,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,6380,48,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,6502,49,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,6508,49,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,6515,49,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,6618,50,A leak in the pump station
Alarm - High Pump Vibration,6624,50,A leak in the pump station
Alarm - Pipe MOP Exceeded,6635,50,A leak in the pump station
Alarm - Low Suction Pressure,6640,50,A leak in the pump station
Alarm - High Pump Differential,6644,50,A leak in the pump station
Alarm - Leak Detection Alarm,6648,50,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,6746,51,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,6751,51,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,6758,51,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,6860,52,A leak in the pump station
Alarm - High Pump Vibration,6866,52,A leak in the pump station
Alarm - Pipe MOP Exceeded,6876,52,A leak in the pump station
Alarm - Low Suction Pressure,6881,52,A leak in the pump station
Alarm - High Pump Differential,6884,52,A leak in the pump station
Alarm - Leak Detection Alarm,6887,52,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,6985,53,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,6990,53,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,6998,53,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,7100,54,A leak in the pump station
Alarm - High Pump Vibration,7106,54,A leak in the pump station
Alarm - Pipe MOP Exceeded,7116,54,A leak in the pump station
Alarm - Low Suction Pressure,7121,54,A leak in the pump station
Alarm - High Pump Differential,7125,54,A leak in the pump station
Alarm - Leak Detection Alarm,7128,54,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,7227,55,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,7233,55,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,7240,55,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Volume Reached,7344,56,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,7349,56,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,7357,56,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,7461,57,A leak in the pump station
Alarm - High Pump Vibration,7468,57,A leak in the pump station
Alarm - Pipe MOP Exceeded,7478,57,A leak in the pump station
Alarm - Low Suction Pressure,7483,57,A leak in the pump station
Alarm - High Pump Differential,7486,57,A leak in the pump station
Alarm - Leak Detection Alarm,7490,57,A leak in the pump station
Alarm - Batch Meter Tracking Warning Time 1 Reached,7587,58,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,7604,58,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,7615,58,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,7620,58,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,7628,58,Switching a delivery from a refinery to a crude tank
Alarm - High Discharge Pressure,7746,59,A leak in the pump station
Alarm - High Pump Vibration,7752,59,A leak in the pump station
Alarm - Pipe MOP Exceeded,7762,59,A leak in the pump station
Alarm - Low Suction Pressure,7767,59,A leak in the pump station
Alarm - High Pump Differential,7770,59,A leak in the pump station
Alarm - Leak Detection Alarm,7773,59,A leak in the pump station
Alarm - High Discharge Pressure,7872,60,A leak in the pump station
Alarm - High Pump Vibration,7878,60,A leak in the pump station
Alarm - Pipe MOP Exceeded,7889,60,A leak in the pump station
Alarm - Low Suction Pressure,7893,60,A leak in the pump station
Alarm - High Pump Differential,7896,60,A leak in the pump station
Alarm - Leak Detection Alarm,7899,60,A leak in the pump station
Alarm - High Discharge Pressure,7998,61,A leak in the pump station
Alarm - High Pump Vibration,8004,61,A leak in the pump station
Alarm - Pipe MOP Exceeded,8014,61,A leak in the pump station
Alarm - Low Suction Pressure,8018,61,A leak in the pump station
Alarm - High Pump Differential,8022,61,A leak in the pump station
Alarm - Leak Detection Alarm,8025,61,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,8123,62,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,8128,62,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,8136,62,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Warning Time 1 Reached,8239,63,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,8256,63,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,8267,63,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,8273,63,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,8281,63,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,8398,64,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,8415,64,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,8425,64,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,8431,64,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,8440,64,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,8556,65,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,8574,65,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,8584,65,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,8590,65,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,8598,65,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,8718,66,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,8724,66,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,8731,66,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Warning Time 1 Reached,8836,67,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,8854,67,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,8865,67,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,8871,67,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,8880,67,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,8997,68,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,9003,68,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,9011,68,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Volume Reached,9115,69,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,9120,69,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,9128,69,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Warning Time 1 Reached,9231,70,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,9248,70,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,9258,70,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,9264,70,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,9272,70,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,9390,71,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,9396,71,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,9403,71,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Volume Reached,9506,72,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,9512,72,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,9520,72,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,9621,73,A leak in the pump station
Alarm - High Pump Vibration,9627,73,A leak in the pump station
Alarm - Pipe MOP Exceeded,9637,73,A leak in the pump station
Alarm - Low Suction Pressure,9641,73,A leak in the pump station
Alarm - High Pump Differential,9644,73,A leak in the pump station
Alarm - Leak Detection Alarm,9647,73,A leak in the pump station
Alarm - Batch Meter Tracking Warning Time 1 Reached,9745,74,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,9762,74,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,9773,74,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,9778,74,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,9787,74,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,9903,75,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,9908,75,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,9916,75,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Warning Time 1 Reached,10018,76,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,10036,76,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,10046,76,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,10051,76,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,10060,76,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,10178,77,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,10195,77,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,10206,77,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,10212,77,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,10220,77,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,10335,78,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,10353,78,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,10363,78,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,10368,78,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,10376,78,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,10491,79,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,10509,79,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,10519,79,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,10525,79,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,10533,79,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,10652,80,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,10670,80,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,10680,80,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,10686,80,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,10695,80,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,10813,81,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,10819,81,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,10826,81,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,10928,82,A leak in the pump station
Alarm - High Pump Vibration,10935,82,A leak in the pump station
Alarm - Pipe MOP Exceeded,10945,82,A leak in the pump station
Alarm - Low Suction Pressure,10950,82,A leak in the pump station
Alarm - High Pump Differential,10953,82,A leak in the pump station
